Chemical Name,CAS#,Function,product page URL,product name
Amylase,9000-90-2,Enzyme,https://www.ecos.com/product/best-sellers/hypoallergenic-laundry-detergent-plus-with-enzymes-free-clear/hypoallergenic-laundry-detergent-plus-with-enzymes-magnolia-lily/,Hypoallergenic Laundry Detergent  with Enzymes - Magnolia & Lily
Lipase,9001-62-1,Enzyme,https://www.ecos.com/product/best-sellers/hypoallergenic-laundry-detergent-plus-with-enzymes-free-clear/hypoallergenic-laundry-detergent-plus-with-enzymes-magnolia-lily/,Hypoallergenic Laundry Detergent  with Enzymes - Magnolia & Lily
Sodium Hydroxide,1310-73-2,pH Adjuster,https://www.ecos.com/product/best-sellers/hypoallergenic-laundry-detergent-plus-with-enzymes-free-clear/hypoallergenic-laundry-detergent-plus-with-enzymes-magnolia-lily/,Hypoallergenic Laundry Detergent  with Enzymes - Magnolia & Lily
Kaolin,1332-58-7,Builder,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Water,7732-18-5,Solvent Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Sodium Lauryl Sulfate,68955-19-1,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Polyvinyl Alcohol,9002-89-5,Stabilizer,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Silica,7631-86-9,Builder,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Caprylyl/Capryl Glucoside,110615-47-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Cocamidopropyl Betaine,61789-40-0,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Glycerin,56-81-5,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Sodium Citrate,6132-04-3,Water Softener,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
PEG-12 Dimethicone,67762-85-0,Defoaming agent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Cocamidopropylamine Oxide,68155-09-9,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Saponins,8047-15-2,Surfactant,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Propylene Glycol,57-55-6,Solvent,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Phenoxyethanol,122-99-6,Preservative,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Natural Fragrance,Proprietary Blend,Fragrance,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Triethyl Citrate,77-93-0,Fragrance solubilizer,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Protease,9014-01-1,Enzyme,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Citric Acid,77-92-9,pH adjuster,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Dimethicone,63148-62-9,Polymer,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Linalool,78-70-6,Fragrance component,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
Courmarin,91-64-5,Fragrance component,https://www.ecos.com/product/detergents/ecos-liquidless-laundry-detergent-squares-lavender-vanilla/,ECOS® Liquidless Laundry Detergent Squares - Lavender Vanilla
